Employee_ID,Name,Age,Gender,Department,Job_Role,Join_Date,Salary,Performance_Rating,Experience_Years,Attrition,Exit_Date,Attrition_Reason
1,Nicholas Ortiz,40,Female,Finance,Manager,2022-10-22,33619,4,12,Yes,2023-05-27,Better Offer
2,Jessica Diaz,31,Male,Sales,Manager,2022-01-29,61550,1,14,No,,
3,Travis Carroll,49,Male,HR,Executive,2024-04-06,102453,3,7,No,,
4,Michele Fletcher,46,Female,HR,Executive,2022-01-12,40999,5,10,No,,
5,Erik Ross,24,Female,HR,Manager,2025-02-13,112063,3,7,No,,
6,Evan Chase,35,Male,HR,Executive,2021-10-14,38518,1,7,Yes,2025-07-06,Low Salary
7,Cassandra Kim,37,Female,HR,Manager,2025-04-17,56942,5,8,Yes,2025-12-09,Low Salary
8,Breanna Gray,40,Female,IT,Engineer,2022-10-19,106638,4,13,No,,
9,Ashley Sheppard,32,Female,Sales,Analyst,2021-08-09,29510,4,4,No,,
10,Tracy Lewis,36,Male,Finance,Executive,2021-12-14,63044,2,8,No,,
11,Sarah Williams,51,Female,IT,Manager,2023-11-26,87793,1,9,No,,
12,Alex Johnson,49,Male,Sales,Engineer,2025-04-25,46479,1,10,No,,
13,Wesley Murphy,36,Female,Sales,Engineer,2023-10-13,62569,3,5,No,,
14,Samantha Ramirez,34,Male,IT,Engineer,2024-01-04,29406,5,13,No,,
15,Jason Mitchell,25,Female,Finance,Manager,2025-09-24,73703,4,4,Yes,2026-03-10,Work Pressure
16,Brett Brown,30,Male,IT,Executive,2025-06-27,96354,5,10,No,,
17,Eric Ruiz,39,Male,Finance,Analyst,2024-02-20,36459,3,11,No,,
18,Lisa Byrd,51,Female,HR,Executive,2022-09-24,75713,5,2,No,,
19,Bryan Owens,36,Female,IT,Manager,2022-07-30,119530,1,13,No,,
20,Carlos Miller,47,Female,IT,Analyst,2021-11-18,110857,2,1,No,,
21,Mark Swanson,47,Female,HR,Engineer,2025-01-08,67710,4,11,No,,
22,Gloria Velez,51,Male,IT,Analyst,2024-04-03,53236,2,13,Yes,2024-09-06,Work Pressure
23,Edward Sanchez,31,Female,Sales,Analyst,2025-11-23,62547,5,10,No,,
24,Susan Carter,45,Female,Sales,Executive,2024-03-06,51181,4,8,Yes,2025-04-10,Better Offer
25,Brenda Dickson,27,Female,IT,Executive,2024-11-08,29090,5,13,Yes,2025-08-13,Work Pressure
26,Cody Jackson,27,Female,Finance,Analyst,2023-08-30,76069,5,15,No,,
27,Brenda Zamora,25,Female,Finance,Manager,2024-03-06,81404,5,2,Yes,2024-10-30,Better Offer
28,Darrell Gray,31,Male,Finance,Executive,2026-03-27,108150,4,1,No,,
29,Stephen Vazquez,44,Male,Finance,Engineer,2021-08-09,99580,1,15,No,,
30,Mrs. Jennifer Taylor,51,Female,HR,Executive,2024-08-04,44925,2,12,Yes,2026-04-28,Low Salary
31,Mary Adams,45,Male,Sales,Engineer,2025-10-20,91069,4,15,Yes,2026-01-27,Work Pressure
32,Danny Hendricks,44,Female,HR,Executive,2026-03-10,56011,2,9,No,,
33,Cynthia Warren,24,Female,Finance,Executive,2022-07-18,85695,3,5,No,,
34,Laurie Davis,50,Female,IT,Analyst,2023-08-08,111819,2,14,No,,
35,Steven Burns,28,Male,HR,Analyst,2024-05-24,41905,2,12,Yes,2025-03-18,Better Offer
36,Jeff Bender,53,Female,Sales,Engineer,2025-07-20,42966,1,2,No,,
37,David Garza,47,Male,HR,Manager,2025-07-26,32654,3,4,No,,
38,Timothy Rodriguez,26,Female,Finance,Engineer,2024-01-02,86524,4,11,No,,
39,Joseph Mcmahon,39,Female,Finance,Manager,2024-12-17,38439,5,12,No,,
40,Gary Lin,37,Female,IT,Executive,2024-05-13,39871,4,7,Yes,2025-05-31,Low Salary
41,William Santiago,50,Male,HR,Analyst,2023-07-24,89349,3,10,Yes,2025-01-23,Better Offer
42,Clarence Chambers,32,Female,Sales,Executive,2025-10-11,75902,4,4,No,,
43,Tina Frost,29,Female,Sales,Executive,2026-04-11,102786,3,9,No,,
44,Kimberly Marshall,52,Male,Sales,Executive,2023-11-02,48512,4,3,No,,
45,Matthew Woodard,48,Female,Sales,Manager,2023-06-07,110669,2,13,No,,
46,Brittany Huerta,29,Female,Finance,Engineer,2024-11-10,69852,3,15,No,,
47,Sarah Wells,31,Female,Finance,Analyst,2025-12-29,87982,1,10,No,,
48,Alexandra Cobb,48,Female,Finance,Analyst,2023-05-16,64100,1,13,No,,
49,Amy Allen,41,Female,Sales,Analyst,2022-09-29,79437,1,3,No,,
50,Dawn Edwards,44,Female,Sales,Analyst,2022-02-15,95761,2,1,No,,
51,Zachary Robinson,33,Female,IT,Executive,2023-05-02,75043,1,14,No,,
52,Jacqueline Smith,40,Male,Sales,Analyst,2023-10-06,92678,4,8,No,,
53,Jonathan Zimmerman,25,Male,Sales,Manager,2025-10-08,62940,5,3,No,,
54,Morgan Brown,30,Female,Finance,Executive,2021-08-17,35404,4,15,No,,
55,Jose Gonzalez,29,Female,IT,Manager,2021-05-18,89988,4,5,No,,
56,Ricky Powers,36,Female,IT,Analyst,2024-02-21,27740,3,12,No,,
57,Jared Robbins,55,Female,HR,Manager,2025-05-07,90251,2,14,No,,
58,Jason Ramsey,44,Female,Finance,Executive,2024-07-28,73699,3,14,No,,
59,Jeffrey Compton,43,Female,HR,Analyst,2021-05-01,72416,5,4,No,,
60,Amy Medina,37,Female,Sales,Manager,2024-09-14,110742,3,12,No,,
61,Kirsten Fry,51,Female,HR,Engineer,2023-09-05,34489,5,10,Yes,2024-05-30,Better Offer
62,David Watts,44,Female,IT,Analyst,2025-12-02,29142,4,1,Yes,2025-12-14,Work Pressure
63,Judy Nichols,23,Male,Sales,Analyst,2024-04-04,73788,5,1,No,,
64,Wendy Lucas,47,Female,Sales,Executive,2025-06-22,96083,5,13,No,,
65,Jenny Best,36,Male,Sales,Executive,2023-07-11,69485,1,11,No,,
66,Shirley Aguilar,31,Female,HR,Executive,2021-11-03,55980,4,9,No,,
67,Jared Herrera,45,Female,IT,Executive,2026-02-04,65557,1,3,Yes,2026-03-11,Work Pressure
68,Matthew Gomez,39,Male,HR,Executive,2023-11-22,49761,5,2,Yes,2024-12-09,Work Pressure
69,Lisa Hunter,25,Male,Finance,Analyst,2024-07-24,100011,5,11,No,,
70,Joel Harris,24,Female,Sales,Engineer,2025-05-23,31117,3,13,No,,
71,Daniel Hill,40,Male,Finance,Executive,2023-01-14,35890,4,3,Yes,2023-09-16,Better Offer
72,Natasha Smith,44,Female,Finance,Analyst,2024-11-30,41142,4,1,No,,
73,Miss Michele Peterson,24,Male,IT,Executive,2024-08-03,43650,2,7,No,,
74,Michael Simmons,48,Male,Finance,Executive,2024-03-19,61871,3,11,No,,
75,Michelle Arias,34,Male,IT,Executive,2022-10-13,51666,4,10,Yes,2023-12-17,Better Offer
76,Warren Smith,47,Female,HR,Engineer,2024-11-13,43975,2,11,No,,
77,Rebecca Carroll,42,Male,HR,Manager,2024-11-18,69709,1,15,No,,
78,Kari Carroll,53,Male,HR,Engineer,2022-03-14,39807,5,6,No,,
79,Michael Rodriguez,44,Male,Sales,Executive,2025-03-03,42921,3,12,Yes,2026-03-21,Low Salary
80,Ashley Bryan,34,Male,Sales,Executive,2021-10-01,112215,5,13,No,,
81,Daniel Miller,55,Female,HR,Executive,2023-11-18,38406,2,3,Yes,2025-07-03,Better Offer
82,Caitlyn Fitzgerald,47,Male,IT,Executive,2024-07-22,46032,4,5,No,,
83,Carrie Bauer,27,Male,IT,Analyst,2023-08-19,115233,5,5,No,,
84,Dawn Lane,26,Female,IT,Manager,2026-03-09,61606,5,12,No,,
